Period,Ranking,Program,Rate
Year 2012 Month 10 Week 1,8,일일드라마(그래도당신),15.1
Year 2012 Month 10 Week 1,10,순간포착,14.9
Year 2012 Month 10 Week 2,6,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.6
Year 2012 Month 10 Week 2,8,일일드라마(그래도당신),15.6
Year 2012 Month 10 Week 3,6,일일드라마(그래도당신),17.2
Year 2012 Month 10 Week 3,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",16.5
Year 2012 Month 10 Week 4,6,일일드라마(그래도당신),17.0
Year 2012 Month 10 Week 4,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.0
Year 2012 Month 11 Week 1,6,일일드라마(그래도당신),18.0
Year 2012 Month 11 Week 1,9,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.2
Year 2012 Month 11 Week 2,4,일일드라마(그래도당신),19.3
Year 2012 Month 11 Week 2,7,"일요일이좋다(정글의법칙IN마다가스카르,런닝맨)",17.6
Year 2012 Month 11 Week 2,9,놀라운대회스타킹,16.2
Year 2012 Month 11 Week 2,10,순간포착,15.4
Year 2012 Month 11 Week 3,6,일일드라마(그래도당신),18.1
Year 2012 Month 11 Week 3,8,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.6
Year 2012 Month 11 Week 4,7,일일드라마(그래도당신),17.2
Year 2012 Month 11 Week 4,10,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.0
Year 2012 Month 12 Week 1,7,일일드라마(그래도당신),16.9
Year 2012 Month 12 Week 2,8,일일드라마(그래도당신),16.7
Year 2012 Month 12 Week 2,10,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.6
Year 2012 Month 12 Week 3,9,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.6
Year 2012 Month 12 Week 5,8,SBS연예대상2부,16.3
Year 2013 Month 1 Week 1,6,정글의법칙IN아마존,17.1
Year 2013 Month 1 Week 1,7,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.3
Year 2013 Month 1 Week 2,7,정글의법칙IN아마존,17.0
Year 2013 Month 1 Week 2,9,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.0
Year 2013 Month 1 Week 3,6,정글의법칙IN아마존,17.4
Year 2013 Month 1 Week 3,8,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.5
Year 2013 Month 1 Week 4,5,정글의법칙IN아마존,19.3
Year 2013 Month 1 Week 4,8,순간포착,16.3
Year 2013 Month 1 Week 4,9,특별기획(청담동앨리스),16.1
Year 2013 Month 1 Week 4,10,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",15.9
Year 2013 Month 2 Week 1,7,정글의법칙IN아마존,18.4
Year 2013 Month 2 Week 1,8,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.3
Year 2013 Month 2 Week 2,5,정글의법칙IN아마존,18.1
Year 2013 Month 2 Week 2,9,순간포착,15.6
Year 2013 Month 2 Week 3,7,"일요일이좋다(서바이벌오디션K팝스타2,런닝맨)",16.7
Year 2013 Month 2 Week 3,8,SBS월화드라마(야왕),16.3
Year 2013 Month 2 Week 3,9,정글의법칙IN갈라파고스,15.3
Year 2013 Month 2 Week 3,10,순간포착,15.2
Year 2013 Month 2 Week 4,6,SBS월화드라마(야왕),19.0
Year 2013 Month 2 Week 4,8,정글의법칙IN갈라파고스,16.8
Year 2013 Month 3 Week 1,7,SBS월화드라마(야왕),17.6
Year 2013 Month 3 Week 1,8,정글의법칙IN갈라파고스,15.2
